Latitude,Longitude,Depth,Magnitude,Magnitude Type
19.246,145.616,131.6,6,1
1.863,127.352,80,5.8,0
-20.579,-173.972,20,6.2,1
-59.076,-23.557,15,5.8,0
11.938,126.427,15,5.8,0
-13.405,166.629,35,6.7,1
27.357,87.867,20,5.9,1
-13.309,166.212,35,6,1
-56.452,-27.043,95,6,1
-24.563,178.487,565,5.8,0
-6.807,108.988,227.9,5.9,1
-2.608,125.952,20,8.2,1
54.636,161.703,55,5.5,0
-18.697,-177.864,482.9,5.6,0
37.523,73.251,15,6,1
-51.84,139.741,10,6.1,1
51.251,178.715,30.3,8.7,1
51.639,175.055,30,6,1
52.528,172.007,25,5.7,0
51.626,175.746,25,5.8,0
51.037,177.848,25,5.9,1
51.73,173.975,20,5.9,1
51.775,173.058,10,5.7,0
52.611,172.588,24,5.7,0
51.831,174.368,31.8,5.7,0
51.948,173.969,20,5.6,0
51.443,179.605,30,7.3,1
52.773,171.974,30,6.5,1
51.772,174.696,20,5.6,0
52.975,171.091,25,6.4,1
52.99,170.874,25,5.8,0
51.536,175.045,25,5.8,0
13.245,-44.922,10,5.8,0
51.812,174.206,10,5.7,0
51.762,174.841,25,5.7,0
52.438,174.321,39.5,6.3,1
51.946,173.84,30,5.7,0
51.738,174.566,20,6,1
51.487,176.558,30.4,5.6,0
53.008,-162.008,17.8,6.4,1
52.184,175.505,27.7,6.2,1
52.076,172.918,30.1,5.6,0
51.744,175.213,37.4,5.7,0
52.057,174.116,17.5,5.7,0
53.191,-161.859,22.5,6.3,1
51.447,176.469,25.2,5.8,0
51.258,173.393,17.7,5.7,0
52.031,175.411,25,5.7,0
51.294,179.092,25,5.8,0
55.223,165.426,32.5,5.9,1
-18.718,169.386,200,5.6,0
52.815,171.904,30,6,1
52.188,172.752,25,5.8,0
51.009,179.325,20,5.8,0
3.026,125.951,100,5.9,1
38.908,142.095,53.5,5.7,0
51.694,176.446,30,5.7,0
21.527,143.081,340,5.6,0
25.011,94.186,55,5.6,0
-7.251,126.715,35,5.9,1
51.415,179.358,40.4,5.8,0
-15.343,-172.889,35,5.8,0
-25.633,-70.679,35,7,1
-5.461,151.98,40,6.2,1
51.884,173.072,20.3,6.2,1
6.746,-72.971,160,5.6,0
28.133,-112.208,10,6,1
-5.377,152.115,30,5.9,1
21.104,121.218,30,5.7,0
-5.371,152.055,40,5.5,0
21.122,121.148,30,5.6,0
52.204,173.911,33.6,5.7,0
15.404,-92.623,105.2,5.6,0
38.399,28.226,10,5.8,0
-27.145,-177.262,15,5.6,0
-5.514,151.819,14.8,6.7,1
53.046,171.308,25.7,6.3,1
-5.487,146.993,200,5.7,0
50.928,179.511,30,5.5,0
52.39,174.937,35,5.6,0
-27.027,-63.214,560.8,5.8,0
52.416,174.239,35,5.6,0
-18.425,-132.923,10,5.6,0
20.13,121.461,45,5.8,0
-29.998,-177.968,50,6,1
39.197,23.86,15,6.1,1
53.292,-162.331,20,5.7,0
36.405,70.724,207.8,7.4,1
22.635,121.117,15,5.8,0
40.697,143.032,32.1,6.4,1
52.785,171.821,25,6,1
-20.036,-175.89,224.9,6.3,1
-55.857,-26.758,35,5.7,0
-1.887,119.836,40,6,1
-1.547,126.623,28.9,6.3,1
-15.262,-173.254,30.5,6.5,1
